ELEMENT,Axis_0,Axis_1,C_PE_WE,C_PE_WE_P,C_PHYLO_RPE2,C_PHYLO_RPE_DIFF2,C_PHYLO_RPE_NULL2,P_PE_WE,P_PE_WE_P,P_PHYLO_RPE2,P_PHYLO_RPE_DIFF2,P_PHYLO_RPE_NULL2,Q_PE_WE,Q_PE_WE_P,Q_PHYLO_RPE2,Q_PHYLO_RPE_DIFF2,Q_PHYLO_RPE_NULL2
-1175000:-3575000,-1175000,-3575000,959,959,361,81,993,0.95995995995996,0.95995995995996,0.361361361361361,0.0810810810810811,0.993993993993994,999,999,999,999,999
-1175000:-3625000,-1175000,-3625000,984,984,583,424,997,0.984984984984985,0.984984984984985,0.583583583583584,0.424424424424424,0.997997997997998,999,999,999,999,999
-1175000:-3675000,-1175000,-3675000,997,997,980,997,990,0.997997997997998,0.997997997997998,0.980980980980981,0.997997997997998,0.990990990990991,999,999,999,999,999
-1175000:-3725000,-1175000,-3725000,995,995,866,968,996,0.995995995995996,0.995995995995996,0.866866866866867,0.968968968968969,0.996996996996997,999,999,999,999,999
-1175000:-3775000,-1175000,-3775000,991,991,925,983,999,0.991991991991992,0.991991991991992,0.925925925925926,0.983983983983984,1,999,999,999,999,999
-1175000:-3825000,-1175000,-3825000,993,993,619,581,998,0.993993993993994,0.993993993993994,0.61961961961962,0.581581581581582,0.998998998998999,999,999,999,999,999
-1225000:-2175000,-1225000,-2175000,113,113,287,396,113,0.113113113113113,0.113113113113113,0.287287287287287,0.396396396396396,0.113113113113113,999,999,999,999,999
-1225000:-2225000,-1225000,-2225000,847,847,813,840,711,0.847847847847848,0.847847847847848,0.813813813813814,0.840840840840841,0.711711711711712,999,999,999,999,999
-1225000:-2275000,-1225000,-2275000,562,562,629,627,444,0.562562562562563,0.562562562562563,0.62962962962963,0.627627627627628,0.444444444444444,999,999,999,999,999
-1225000:-2325000,-1225000,-2325000,443,443,753,733,123,0.443443443443443,0.443443443443443,0.753753753753754,0.733733733733734,0.123123123123123,999,999,999,999,999
-1225000:-2375000,-1225000,-2375000,959,959,949,967,870,0.95995995995996,0.95995995995996,0.94994994994995,0.967967967967968,0.870870870870871,999,999,999,999,999
-1225000:-2425000,-1225000,-2425000,938,938,935,947,796,0.938938938938939,0.938938938938939,0.935935935935936,0.947947947947948,0.796796796796797,999,999,999,999,999
-1225000:-2475000,-1225000,-2475000,65,65,420,452,21,0.0650650650650651,0.0650650650650651,0.42042042042042,0.452452452452452,0.021021021021021,999,999,999,999,999
-1225000:-2525000,-1225000,-2525000,444,444,255,191,700,0.444444444444444,0.444444444444444,0.255255255255255,0.191191191191191,0.700700700700701,999,999,999,999,999
-1225000:-2575000,-1225000,-2575000,213,213,585,573,49,0.213213213213213,0.213213213213213,0.585585585585586,0.573573573573574,0.049049049049049,999,999,999,999,999
-1225000:-2625000,-1225000,-2625000,868,868,918,914,626,0.868868868868869,0.868868868868869,0.918918918918919,0.914914914914915,0.626626626626627,999,999,999,999,999
-1225000:-2675000,-1225000,-2675000,454,454,547,550,323,0.454454454454454,0.454454454454454,0.547547547547548,0.550550550550551,0.323323323323323,999,999,999,999,999
-1225000:-2725000,-1225000,-2725000,845,845,940,924,394,0.845845845845846,0.845845845845846,0.940940940940941,0.924924924924925,0.394394394394394,999,999,999,999,999
-1225000:-2825000,-1225000,-2825000,925,925,973,964,512,0.925925925925926,0.925925925925926,0.973973973973974,0.964964964964965,0.512512512512513,999,999,999,999,999
-1225000:-2875000,-1225000,-2875000,545,545,250,120,778,0.545545545545546,0.545545545545546,0.25025025025025,0.12012012012012,0.778778778778779,999,999,999,999,999
-1225000:-2925000,-1225000,-2925000,426,426,796,747,79,0.426426426426426,0.426426426426426,0.796796796796797,0.747747747747748,0.0790790790790791,999,999,999,999,999
-1225000:-2975000,-1225000,-2975000,444,444,626,634,293,0.444444444444444,0.444444444444444,0.626626626626627,0.634634634634635,0.293293293293293,999,999,999,999,999
-1225000:-3025000,-1225000,-3025000,115,115,351,486,73,0.115115115115115,0.115115115115115,0.351351351351351,0.486486486486487,0.0730730730730731,999,999,999,999,999
-1225000:-3075000,-1225000,-3075000,19,19,249,367,13,0.019019019019019,0.019019019019019,0.249249249249249,0.367367367367367,0.013013013013013,999,999,999,999,999
-1225000:-3125000,-1225000,-3125000,261,261,116,149,589,0.261261261261261,0.261261261261261,0.116116116116116,0.149149149149149,0.58958958958959,999,999,999,999,999
-1225000:-3175000,-1225000,-3175000,770,770,660,624,752,0.770770770770771,0.770770770770771,0.660660660660661,0.624624624624625,0.752752752752753,999,999,999,999,999
-1225000:-3225000,-1225000,-3225000,825,825,834,849,679,0.825825825825826,0.825825825825826,0.834834834834835,0.84984984984985,0.67967967967968,999,999,999,999,999
-1225000:-3275000,-1225000,-3275000,982,982,994,988,816,0.982982982982983,0.982982982982983,0.994994994994995,0.988988988988989,0.816816816816817,999,999,999,999,999
-1225000:-3325000,-1225000,-3325000,538,538,354,272,674,0.538538538538539,0.538538538538539,0.354354354354354,0.272272272272272,0.674674674674675,999,999,999,999,999
-1225000:-3375000,-1225000,-3375000,675,675,684,683,586,0.675675675675676,0.675675675675676,0.684684684684685,0.683683683683684,0.586586586586587,999,999,999,999,999
-1225000:-3425000,-1225000,-3425000,417,417,273,233,628,0.417417417417417,0.417417417417417,0.273273273273273,0.233233233233233,0.628628628628629,999,999,999,999,999
-1225000:-3475000,-1225000,-3475000,447,447,378,360,522,0.447447447447447,0.447447447447447,0.378378378378378,0.36036036036036,0.522522522522523,999,999,999,999,999
