ELEMENT,Axis_0,Axis_1,PE_WE,PE_WE_P,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1275000:-3075000,-1275000,-3075000,,,,,
-1275000:-3125000,-1275000,-3125000,,,,,
-1275000:-3175000,-1275000,-3175000,,,,,
-1275000:-3225000,-1275000,-3225000,,,,,
-1275000:-3375000,-1275000,-3375000,,,,,
-1275000:-3425000,-1275000,-3425000,,,,,
-1275000:-3475000,-1275000,-3475000,,,,,
-1275000:-3525000,-1275000,-3525000,,,,,
-1275000:-3575000,-1275000,-3575000,0.972972972972973,0.972972972972973,,,0.98998998998999
-1275000:-3625000,-1275000,-3625000,,,,,0.980980980980981
-1275000:-3675000,-1275000,-3675000,,,,,0.96996996996997
-1275000:-3725000,-1275000,-3725000,0.970970970970971,0.970970970970971,,,0.994994994994995
-1275000:-3775000,-1275000,-3775000,0.988988988988989,0.988988988988989,,,1
-1275000:-3825000,-1275000,-3825000,0.996996996996997,0.996996996996997,,0.985985985985986,1
-1275000:-3875000,-1275000,-3875000,0.993993993993994,0.993993993993994,0.955955955955956,0.993993993993994,1
-1275000:-3925000,-1275000,-3925000,0.972972972972973,0.972972972972973,,,0.987987987987988
-1325000:-2225000,-1325000,-2225000,,,,,
-1325000:-2275000,-1325000,-2275000,,,,,0.034034034034034
-1325000:-2325000,-1325000,-2325000,,,,,
-1325000:-2375000,-1325000,-2375000,,,,,
-1325000:-2425000,-1325000,-2425000,,,,,
-1325000:-2475000,-1325000,-2475000,,,,,
-1325000:-2525000,-1325000,-2525000,,,,,
-1325000:-2575000,-1325000,-2575000,,,,,
-1325000:-2625000,-1325000,-2625000,,,,,
-1325000:-2675000,-1325000,-2675000,,,,,
-1325000:-2725000,-1325000,-2725000,,,,,
-1325000:-2775000,-1325000,-2775000,,,,,
-1325000:-2825000,-1325000,-2825000,,,,,
-1325000:-2875000,-1325000,-2875000,,,,,
-1325000:-2925000,-1325000,-2925000,,,,,0.038038038038038
-1325000:-2975000,-1325000,-2975000,0.032032032032032,0.032032032032032,,,
-1325000:-3025000,-1325000,-3025000,,,,,
-1325000:-3075000,-1325000,-3075000,0.005005005005005,0.005005005005005,,,
-1325000:-3125000,-1325000,-3125000,,,,,
-1325000:-3175000,-1325000,-3175000,0.002002002002002,0.002002002002002,,,0.039039039039039
-1325000:-3225000,-1325000,-3225000,0.980980980980981,0.980980980980981,0.980980980980981,0.987987987987988,
-1325000:-3275000,-1325000,-3275000,,,,,
-1325000:-3325000,-1325000,-3325000,0.964964964964965,0.964964964964965,,,0.967967967967968
-1325000:-3375000,-1325000,-3375000,,,,,0.980980980980981
-1325000:-3425000,-1325000,-3425000,,,,,
-1325000:-3475000,-1325000,-3475000,0.984984984984985,0.984984984984985,0.988988988988989,0.991991991991992,
-1325000:-3525000,-1325000,-3525000,0.953953953953954,0.953953953953954,,,
-1325000:-3575000,-1325000,-3575000,0.951951951951952,0.951951951951952,,0.950950950950951,
-1325000:-3625000,-1325000,-3625000,,,,0.033033033033033,0.96996996996997
-1325000:-3675000,-1325000,-3675000,,,,,
-1325000:-3725000,-1325000,-3725000,,,,,0.967967967967968
-1325000:-3775000,-1325000,-3775000,,,,,
-1325000:-3825000,-1325000,-3825000,0.995995995995996,0.995995995995996,0.974974974974975,0.995995995995996,0.996996996996997
-1325000:-3875000,-1325000,-3875000,0.993993993993994,0.993993993993994,,0.98998998998999,0.98998998998999
-1325000:-3925000,-1325000,-3925000,0.977977977977978,0.977977977977978,,0.953953953953954,0.982982982982983
-1375000:-2275000,-1375000,-2275000,,,,,
-1375000:-2325000,-1375000,-2325000,,,,,
-1375000:-2375000,-1375000,-2375000,,,,,
-1375000:-2425000,-1375000,-2425000,,,,,0.033033033033033
-1375000:-2475000,-1375000,-2475000,,,,,
-1375000:-2525000,-1375000,-2525000,,,,,
-1375000:-2575000,-1375000,-2575000,,,,,
-1375000:-2625000,-1375000,-2625000,,,,,
-1375000:-2675000,-1375000,-2675000,,,,,
-1375000:-2725000,-1375000,-2725000,,,,,
-1375000:-2775000,-1375000,-2775000,,,,,
-1375000:-2825000,-1375000,-2825000,,,,,
-1375000:-2875000,-1375000,-2875000,,,0.950950950950951,,
-1375000:-2925000,-1375000,-2925000,,,,,
-1375000:-2975000,-1375000,-2975000,0.00700700700700701,0.00700700700700701,,,0.01001001001001
-1375000:-3025000,-1375000,-3025000,,,,,
-1375000:-3075000,-1375000,-3075000,,,,,
-1375000:-3125000,-1375000,-3125000,,,,,
-1375000:-3175000,-1375000,-3175000,,,,,
-1375000:-3225000,-1375000,-3225000,0.960960960960961,0.960960960960961,,0.962962962962963,
-1375000:-3275000,-1375000,-3275000,,,,,0.966966966966967
-1375000:-3325000,-1375000,-3325000,,,,,0.970970970970971
-1375000:-3375000,-1375000,-3375000,0.962962962962963,0.962962962962963,,,0.990990990990991
-1375000:-3425000,-1375000,-3425000,,,,,
-1375000:-3475000,-1375000,-3475000,0.992992992992993,0.992992992992993,0.988988988988989,0.991991991991992,
-1375000:-3525000,-1375000,-3525000,0.960960960960961,0.960960960960961,,,0.964964964964965
-1375000:-3575000,-1375000,-3575000,0.991991991991992,0.991991991991992,,0.971971971971972,0.996996996996997
-1375000:-3625000,-1375000,-3625000,,,,,0.966966966966967
-1375000:-3675000,-1375000,-3675000,,,,,0.991991991991992
-1375000:-3725000,-1375000,-3725000,0.981981981981982,0.981981981981982,,0.963963963963964,0.986986986986987
-1375000:-3775000,-1375000,-3775000,0.987987987987988,0.987987987987988,,0.985985985985986,0.991991991991992
-1375000:-3825000,-1375000,-3825000,0.988988988988989,0.988988988988989,0.967967967967968,0.992992992992993,0.96996996996997
-1375000:-3875000,-1375000,-3875000,0.988988988988989,0.988988988988989,0.96996996996997,0.988988988988989,0.971971971971972
-1375000:-3925000,-1375000,-3925000,0.986986986986987,0.986986986986987,,,0.994994994994995
-1425000:-2275000,-1425000,-2275000,,,,,
-1425000:-2325000,-1425000,-2325000,,,,,
-1425000:-2375000,-1425000,-2375000,,,,,
-1425000:-2425000,-1425000,-2425000,,,,,
-1425000:-2475000,-1425000,-2475000,,,,,
-1425000:-2525000,-1425000,-2525000,,,,,
-1425000:-2575000,-1425000,-2575000,,,,,
-1425000:-2625000,-1425000,-2625000,,,,,
-1425000:-2675000,-1425000,-2675000,,,,,
-1425000:-2825000,-1425000,-2825000,,,,,
-1425000:-2875000,-1425000,-2875000,,,,,
-1425000:-2925000,-1425000,-2925000,,,,,
-1425000:-2975000,-1425000,-2975000,,,,,
-1425000:-3025000,-1425000,-3025000,,,,,
-1425000:-3075000,-1425000,-3075000,,,,,
-1425000:-3125000,-1425000,-3125000,0.953953953953954,0.953953953953954,,,
-1425000:-3175000,-1425000,-3175000,,,,,
-1425000:-3225000,-1425000,-3225000,0.97997997997998,0.97997997997998,,0.965965965965966,0.982982982982983
-1425000:-3275000,-1425000,-3275000,0.993993993993994,0.993993993993994,,,1
-1425000:-3325000,-1425000,-3325000,0.994994994994995,0.994994994994995,0.990990990990991,0.996996996996997,
-1425000:-3375000,-1425000,-3375000,,,,,
-1425000:-3425000,-1425000,-3425000,0.996996996996997,0.996996996996997,0.994994994994995,0.995995995995996,0.992992992992993
-1425000:-3475000,-1425000,-3475000,0.997997997997998,0.997997997997998,0.976976976976977,0.996996996996997,0.998998998998999
-1425000:-3525000,-1425000,-3525000,0.996996996996997,0.996996996996997,0.986986986986987,0.994994994994995,1
-1425000:-3575000,-1425000,-3575000,0.997997997997998,0.997997997997998,0.954954954954955,0.992992992992993,0.998998998998999
